llave_cod_cliente,admin_antiguedad_banco,admin_flag_gerenciado,buro_creditos_otros_bancos,buro_score_apc,buro_wallet_share,comp_flag_atm,comp_flag_bpi,comp_flag_cnb,comp_flag_pos,comp_flag_suc,comp_perc_atm,comp_perc_canal_fisico,comp_perc_cnb,comp_perc_bpi,comp_perc_pos,comp_perc_suc,comp_score_digital,comp_txn_atm,comp_txn_bpi,comp_txn_cnb,comp_txn_pos,comp_txn_suc,comp_usd_atm_prom,comp_usd_bpi_prom,comp_usd_cnb_prom,comp_usd_pos_prom,comp_usd_suc_prom,dem_edad,dem_planilla,finc_bal_act,finc_bal_pas,finc_perc_act_tc,finc_perc_pas_tc,finc_sva,finc_tamano_comercial,pdcto_flag_auto,pdcto_flag_cta_ahorro,pdcto_flag_cta_corriente,pdcto_flag_cta_dpf,pdcto_flag_financomer,pdcto_flag_garantizado,pdcto_flag_hipoteca,pdcto_flag_pp,pdcto_flag_seguros,pdcto_flag_tiene_tdc,pdcto_flag_tiene_tdd,pdcto_ivc_actual
153666,20,0,0,657,1,1,0,0,0,0,1,0,0,0,0,0,0,106,0,0,0,0,1016.666666,0,0,0,0,59,1,4819.49,0,1,0,12.844623,4819.49,0,1,0,0,0,0,0,1,0,0,1,2
153764,20,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,236.25,48,0,15406.29,0,1,0,11.194264,15406.29,0,0,0,0,0,0,1,0,0,0,0,1
153838,20,0,1,777,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,28521.89,0,1,0,10.145764,28521.89,0,0,0,0,0,0,1,0,0,0,0,1
154333,20,0,1,433,0,1,1,0,1,1,0.72,0,0,0.07,0.18,0.03,0,51,5,0,13,2,382.083333,10.436666,0,11.841666,27.5,53,0,0,0.23,0,1,2.152527,0.23,0,1,0,0,0,0,0,0,0,0,1,1
154487,20,0,1,,0.46,1,1,0,1,1,0.09,0,0,0.19,0.61,0.11,2,42,88,0,275,48,249.7075,207.946666,0,401.9875,734,53,0,0,0.73,0,1,10.290585,0.73,0,1,0,0,0,0,0,0,0,0,1,1
154759,20,0,1,589,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,3751.38,0,1,0,10.692096,3751.38,0,0,0,0,0,0,0,1,0,0,0,1
154932,20,0,1,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,10.01,0,1,,10.01,0,1,0,0,0,0,0,0,0,0,0,1
154950,20,0,1,682,0.6,1,1,0,0,1,0.06,0,0,0.23,0,0.72,1,3,12,0,0,38,30.833333,15.029166,0,0,1397.5,43,0,70456.74,0,1,0,16.339991,70456.74,0,1,0,0,0,0,1,0,0,0,1,2
155036,20,0,1,817,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,1233.85,0,1,0,15.585262,1233.85,0,0,0,0,0,0,0,0,1,1,0,1
155309,20,0,1,611,0,1,1,0,1,0,0.24,0,0,0.01,0.74,0,0,40,2,0,122,0,311.666666,14.583333,0,287.534166,0,35,0,0,23.79,0,1,2.152527,23.79,0,1,0,0,0,0,0,0,0,0,1,1
